Pali Canon,Cânone Pālī
phala,Phala
Phala,Phala
phala citta,Phala Citta
phala samāpatti,Phala Samāpatti
phassa,Phassa
Phassa,Phassa
phassa paccayā vedanā,Phassa Paccayā Vedanā
phasso,phasso
pisuṇāvācā,Pisuṇāvācā
pīti,Pīti
Pīti,Pīti
point of no return,ponto sem retorno
Pratītyasamutpāda,Pratītyasamutpāda
Preethi,Preethi
pubba nimitta,Pubba Nimitta
pubbenivāsānussati,Pubbenivāsānussati
puggala,Puggala
Puggala,Puggala
Punabbhava,Punabbhava
puñña,Puñña
Puñña,Puñña
puññābhisaṅkhāra,Puññābhisaṅkhāra
Pure Dhamma,Pure Dhamma
puredhamma,PureDhamma
PureDhamma,PureDhamma
puthujjana,Puthujjana
Puthujjana,Puthujjana
rāga,Rāga
Rāga,Rāga
rule of thumb,regra prática
Rebirth,Renascimento
Reincarnation,Renascimento
rupa,Rūpa
rūpa,Rūpa
Rūpa,Rūpa
rūpa bhūmi,Rūpa Bhūmi
rūpa dhamma,Rūpa Dhamma
rūpa jhāna,Rūpa Jhāna
rūpa loka,Rūpa Loka
Rūpa Loka,Rūpa Loka
rūpa rāga,Rūpa Rāga
rūpassa,rūpassa
rūpāvacara,Rūpāvacara
Rūpāvacara,Rūpāvacara
rūpāvacara citta,Rūpāvacara Citta
rūpesu,rūpesu
sabba citta sādhāraṇa,Sabba Citta Sādhāraṇa
sacca,Sacca
Sacca,Sacca
saccāni,saccāni
sacchikiriyā,Sacchikiriyā
saddhā,Saddhā
Saddhā,Saddhā
saddhānusārī,Saddhānusārī
sādhu,Sādhu
Sādhu,Sādhu
Sagga,Sagga
Sahagata,Sahagata
sakadāgāmi,Sakadāgāmi
sakadagami,Sakadāgāmī
sakkāya,Sakkāya
Sakkāya,Sakkāya
sakkāya diṭṭhi,Sakkāya Diṭṭhi
Sakkāya Diṭṭhi,Sakkāya Diṭṭhi
Salāyatana,Saḷāyatana
saḷāyatana,Saḷāyatana
Saḷāyatana,Saḷāyatana
samādhi,Samādhi
Samādhi,Samādhi
Samañña,Sāmañña
samatha,Samatha
Samatha,Samatha
samatha bhāvanā,Samatha Bhāvanā
sammā,Sammā
Sammā,Sammā
sammā ājīva,Sammā Ājīva
sammā diṭṭhi,Sammā Diṭṭhi
sammā samādhi,Sammā Samādhi
sammā saṅkappa,Sammā Saṅkappa
right sati,Sammā Sati
sammā sati,Sammā Sati
sammā vāyāma,Sammā Vāyāma
sammuti paññatti,Sammuti Paññatti
sammuti sacca,Sammuti Sacca
Sampajanna,Sampajañña
sampajañña,Sampajañña
Sampajañña,Sampajañña
sampajāno,sampajāno
Sampatti,Sampatti
Samphappalāpa,Samphappalāpa
samphassa,Samphassa
samsāra,Saṃsāra
Samsāra,Saṃsāra
saṃsāra,Saṃsāra
Saṃsāra,Saṃsāra
samsaric,Saṃsāra
Samsaric,Saṃsāra
Samuccheda,Samuccheda
samudaya,Samudaya
Samudaya,Samudaya
samudaya sacca,Samudaya Sacca
samudayo,samudayo
samuppāda,Samuppāda
Samuppāda,Samuppāda
saṃyojana,Saṃyojana
saṃyojanas,Saṃyojana
Saññojana,Saṃyojana
sankhara,Saṅkhāra
saṅkhāra,Saṅkhāra
Saṅkhāra,Saṅkhāra
saṅkhārā,saṅkhārā
saṅkhārakkhandha,Saṅkhārakkhandha
saṅkhāresu,saṅkhāresu
Saṅkhata,Saṅkhata
saṅkhata dhamma,Saṅkhata Dhamma
saññā,Saññā
Saññā,Saññā
